##|##
Ngrams|Frequency
992 RB WDT |0.00001171
993 JJS VBD |0.00000000
994 WP$ VBZ |0.00000000
995 JJS CD |0.00000000
996 NNS CD |0.00005269
997 PRP FW |0.00000585
998 FW DT |0.00001171
999 POS PRP$ |0.00002342
1000 VBD VBZ |0.00002342
1001 POS TO |0.00001171
1002 VBP JJS |0.00003513
1003 PRP$ VBZ |0.00001756
1004 CD RP |0.00000000
1005 VBD -RRB- |0.00001171
1006 RBS IN |0.00000000
1007 VB VBP |0.00000000
1008 '' WP |0.00001171
1009 '' , |0.00001171
1010 JJS DT |0.00002342
1011 MD CD |0.00000585
1012 CD VB |0.00000000
1013 CC WDT |0.00007611
1014 PRP$ PRP$ |0.00001756
1015 CD PRP$ |0.00000000
1016 TO MD |0.00000000
1017 JJS : |0.00000585
1018 NNPS : |0.00000000
1019 TO CD |0.00011124
1020 DT POS |0.00000585
1021 PRP$ EX |0.00001171
1022 NNPS VBZ |0.00000585
1023 -LRB- VBG |0.00001171
1024 UH RB |0.00003513
1025 WDT JJR |0.00000000
1026 JJR VBZ |0.00000000
1027 CD VBP |0.00001756
1028 RP VBN |0.00000585
1029 PDT IN |0.00000000
1030 , JJS |0.00002342
1031 RBR TO |0.00000585
1032 UH '' |0.00000000
1033 WP CD |0.00002927
1034 PRP$ -LRB- |0.00000000
1035 VBZ PDT |0.00004098
1036 RP VBG |0.00002342
1037 MD PDT |0.00000000
1038 WP JJR |0.00000585
1039 : RP |0.00000000
1040 VBP WDT |0.00000585
1041 VBZ VBP |0.00000000
1042 MD PRP$ |0.00000585
1043 : PDT |0.00001171
1044 '' VBP |0.00001171
1045 IN POS |0.00000000
1046 WP VB |0.00002927
1047 WRB JJS |0.00000000
1048 JJR CD |0.00000585
1049 RP MD |0.00000585
1050 JJR WRB |0.00000000
1051 NNS EX |0.00000585
1052 -LRB- CC |0.00002342
1053 -RRB- MD |0.00000585
1054 '' -RRB- |0.00002342
1055 -LRB- JJ |0.00001756
1056 NNP -RRB- |0.00005269
1057 -LRB- `` |0.00002342
1058 : LS |0.00000585
1059 LS . |0.00001171
1060 -LRB- DT |0.00002927
1061 -RRB- VBZ |0.00001171
1062 -LRB- VBZ |0.00000585
1063 VBP -LRB- |0.00000585
1064 VB -RRB- |0.00001171
1065 -RRB- PRP$ |0.00000585
1066 VBG -LRB- |0.00000585
1067 DT -RRB- |0.00001756
1068 VBG WDT |0.00001756
1069 , -LRB- |0.00001756
1070 CC -LRB- |0.00000585
1071 -RRB- -LRB- |0.00001171
1072 -LRB- LS |0.00000585
1073 LS -RRB- |0.00000585
1074 NNS -LRB- |0.00001756
1075 -LRB- $ |0.00000585
1076 $ CD |0.00001171
1077 TO $ |0.00000585
1078 -RRB- VBP |0.00000585
1079 RBS NN |0.00000000
1080 TO JJS |0.00000585
1081 RBS WRB |0.00000000
1082 VBD -LRB- |0.00002342
1083 : JJS |0.00000000
1084 JJS WDT |0.00000000
1085 -RRB- VBD |0.00001171
1086 RBS : |0.00000000
1087 -LRB- WDT |0.00000585
1088 EX VB |0.00001756
1089 JJS VBG |0.00000585
1090 '' LS |0.00000000
1091 FW PRP$ |0.00000585
1092 POS RP |0.00000000
1093 VBN JJS |0.00000000
1094 PRP -LRB- |0.00000000
1095 JJR VB |0.00000000
1096 VBG EX |0.00000000
1097 VB UH |0.00000585
1098 WP EX |0.00000585
1099 WRB -LRB- |0.00000000
1100 JJ -RRB- |0.00000585
1101 -RRB- VBN |0.00000000
1102 NNP UH |0.00000000
1103 VBG VB |0.00007025
1104 JJ EX |0.00002342
1105 JJ RBS |0.00000000
1106 NNS `` |0.00000585
1107 POS MD |0.00000000
1108 `` WP$ |0.00001171
1109 WP VBG |0.00000585
1110 : , |0.00000000
1111 PRP$ WP |0.00001756
1112 JJS PRP$ |0.00001171
1113 JJS VBN |0.00001756
1114 CC WP$ |0.00002927
1115 WDT VBN |0.00000000
1116 VBD '' |0.00000585
1117 WP `` |0.00000585
1118 JJR FW |0.00000000
1119 RP RBR |0.00000585
1120 CD WP$ |0.00001171
1121 -RRB- CC |0.00000000
1122 MD `` |0.00000585
1123 FW VB |0.00000585
1124 POS CD |0.00001756
1125 FW CC |0.00000000
1126 UH VB |0.00002342
1127 -RRB- TO |0.00000585
1128 NNS JJS |0.00000585
1129 VBG WP$ |0.00000000
1130 WP$ PRP |0.00000585
1131 CD NNPS |0.00000585
1132 VBP WP$ |0.00000000
1133 EX TO |0.00000585
1134 WP$ VBG |0.00000585
1135 WRB PDT |0.00001171
1136 VBP -RRB- |0.00000585
1137 FW : |0.00002342
1138 VBZ `` |0.00001171
1139 SYM `` |0.00001756
1140 PRP$ '' |0.00001171
1141 TO '' |0.00000000
1142 RBR CD |0.00000585
1143 TO VBD |0.00000000
1144 FW RBR |0.00000000
1145 VBZ -RRB- |0.00000000
1146 VBZ '' |0.00000000
1147 WRB `` |0.00000585
1148 DT WP$ |0.00000000
1149 NNS RBS |0.00000585
1150 VB WP$ |0.00000585
1151 -RRB- PDT |0.00000000
1152 RBR RP |0.00000000
1153 POS WP |0.00000585
1154 -RRB- WDT |0.00000585
1155 NNS FW |0.00000000
1156 FW PRP |0.00000000
1157 CC RBS |0.00001171
1158 WRB -RRB- |0.00000000
1159 VBZ -LRB- |0.00000585
1160 IN -RRB- |0.00001171
1161 WDT EX |0.00001171
1162 WP$ NNP |0.00001171
1163 WDT WDT |0.00001171
1164 JJ PDT |0.00000585
1165 WP$ RB |0.00000585
1166 POS -RRB- |0.00000000
1167 VBD WP$ |0.00000000
1168 CD RBS |0.00000000
1169 RBS VBG |0.00001171
1170 : FW |0.00000000
1171 WDT PDT |0.00000000
1172 UH PRP |0.00010538
1173 -LRB- NNS |0.00000585
1174 WP JJS |0.00000585
1175 , RBS |0.00000000
1176 '' RBR |0.00001171
1177 FW WP |0.00000585
1178 POS PDT |0.00000000
1179 EX NNP |0.00000000
1180 MD WRB |0.00001756
1181 -RRB- NNP |0.00000000
1182 -LRB- CD |0.00000000
1183 -RRB- CD |0.00000000
1184 VBZ SYM |0.00000000
1185 SYM CD |0.00000000
1186 VBD SYM |0.00000000
1187 NN SYM |0.00000000
1188 '' RP |0.00000000
1189 NNP SYM |0.00000585
1190 SYM IN |0.00000000
1191 VBG SYM |0.00000000
1192 SYM : |0.00000000
1193 WDT RBR |0.00000585
1194 PDT VBD |0.00000585
1195 RP JJR |0.00000000
1196 NNPS VB |0.00000000
1197 FW TO |0.00004684
1198 MD RBR |0.00002927
1199 RB SYM |0.00000000
1200 SYM . |0.00000000
1201 UH IN |0.00000000
1202 DT PDT |0.00000000
1203 VBD UH |0.00000000
1204 WRB WRB |0.00001171
1205 -RRB- VB |0.00000000
1206 -RRB- RB |0.00000000
1207 '' FW |0.00000000
1208 EX SYM |0.00000000
1209 SYM VBD |0.00000000
1210 RBS , |0.00000000
1211 TO RBR |0.00000000
1212 VBG NNPS |0.00000000
1213 CD JJS |0.00001171
1214 WP$ VBD |0.00000000
1215 FW PDT |0.00000000
1216 UH PRP$ |0.00001171
1217 PRP$ FW |0.00001171
1218 RP POS |0.00000000
1219 -LRB- PDT |0.00000000
1220 MD JJS |0.00000585
1221 VBP VBP |0.00000585
1222 VBP SYM |0.00000000
1223 SYM RP |0.00000000
1224 VBN FW |0.00000000
1225 '' SYM |0.00001171
1226 SYM NN |0.00000000
1227 FW `` |0.00001171
1228 -LRB- VBN |0.00000000
1229 EX PRP$ |0.00000000
1230 MD RBS |0.00001171
1231 CD SYM |0.00000000
1232 WP VBN |0.00000585
1233 -RRB- WRB |0.00000585
1234 VBN RBS |0.00000000
1235 RBR WDT |0.00000000
1236 NN NNPS |0.00000000
1237 NNPS TO |0.00000000
1238 WP$ . |0.00000585
1239 EX CC |0.00002342
1240 NNPS VBG |0.00001171
1241 IN RBR |0.00000585
1242 WDT WRB |0.00000000
1243 -LRB- WP$ |0.00000000
1244 -RRB- SYM |0.00001756
1245 SYM FW |0.00000585
1246 NNS SYM |0.00000000
1247 EX VBN |0.00000585
1248 POS JJS |0.00000000
1249 EX '' |0.00000000
1250 RBS TO |0.00000000
1251 RBR POS |0.00000000
1252 VBG UH |0.00000000
1253 -RRB- NNS |0.00000000
1254 RBR VBP |0.00000585
1255 VB FW |0.00000000
1256 VBD FW |0.00000000
1257 POS WRB |0.00000585
1258 , SYM |0.00000000
1259 WDT VB |0.00001171
1260 VBN '' |0.00000585
1261 SYM PDT |0.00000000
1262 JJS '' |0.00000000
1263 `` SYM |0.00000000
1264 PDT -RRB- |0.00000000
